CompanyId,Cik,CikInt,ParentCik,Ticker,ShortName,CompanyName,SapClientId,Duns,IsPublicOrPrivate,ParentDuns,GlobalDuns,Sic,Naics,IndustryId,SectorId,SubSectorId,OfficeId,RegionId,GeographyId,StateId,AuditFirmId,DesignationId,DeloitteProgramId,FortuneRank,RussellTier,IsSp500,RevenueTtm,MarketCap,TotalAssets,FilingDate,FiscalYearEnd,IsActive,CreatedDateTime,UpdatedDateTime,ETL_ROW_HASH
5,1750,1750,NULL,AIR,AAR,AAR CORP,NULL,5425814,1,NULL,NULL,3720,334613,8,29,36,136,2,3,17,6,1,NULL,NULL,2000,NULL,1913300000,1931898368,1673300000,00:00.0,531,1,40:52.1,01:06.2,EE55F37D86D4C8935B7AA6F782B9730B31EA3A3FBA3FCC723ED55B096DA4F496
29,722077,722077,1303276,NULL,AMC ENTMNT,AMC ENTERTAINMENT INC,NULL,102519584,1,NULL,NULL,7830,512131,9,27,56,153,2,5,19,6,4,NULL,NULL,NULL,NULL,2946900000,NULL,5109989000,00:00.0,329,0,17:29.0,01:13.7,8AE370C8BA2E9A4FF12C51A987DF84BADEC15F39A43718D4CD409C6A901F5711
47,6201,6201,NULL,AAL,AMER AIRLINES,AMERICAN AIRLINES GROUP INC,NULL,72560154,1,NULL,NULL,4512,481111,1,23,70,211,2,5,47,6,1,14,114,1000,1,48971000000,8253741056,64716000000,00:00.0,1231,1,40:52.1,01:13.7,EFF456D7CC70EE1D99FA77E2637399764CB49F7A05410A105C0001FE72944648
61,3197,3197,NULL,CECE,CECO ENVIRONMENTAL,CECO ENVIRONMENTAL CORP,NULL,612907381,1,NULL,NULL,3564,335311,2,25,33,145,2,5,47,11,1,NULL,NULL,NULL,NULL,422627000,397195040,504721000,00:00.0,1231,1,40:52.1,01:05.6,043A101B5C200A46C955445B17770B381EF14037B9460BE6069480869ACB0AE1
76,764622,764622,NULL,PNW,PINNACLE WEST CAPITAL,PINNACLE WEST CAPITAL,NULL,131155400,1,NULL,NULL,4911,221122,2,17,58,178,3,10,4,5,1,7,716,1000,1,4324385000,8726503424,22723405000,00:00.0,1231,1,10:16.7,01:15.1,D1F0D05041D45344D04B72D042EC1CD0549A691B447962FF254657EA391B1756
78,1821393,1821393,NULL,AAN,AARON'S COMPANY,AARON'S COMPANY INC,NULL,33501545,1,NULL,NULL,7359,532210,1,23,64,126,1,1,12,4,1,NULL,NULL,2000,NULL,2249434000,363209632,1858463000,00:00.0,1231,1,40:52.1,01:05.6,27ACF13B85B9D86D4738135DE25DAAAFDE9EF1BA99710ACCFD8A1887B269E41F
84,2186,2186,NULL,BKTI,BK TECH,BK TECHNOLOGIES CORP,NULL,612003681,1,NULL,NULL,3663,334290,9,27,73,116,1,7,11,9,1,NULL,NULL,NULL,NULL,50951000,54349752,48832000,00:00.0,1231,1,18:29.2,01:24.0,977126D15CB700CE2DDFC40B0F445D08EAFC5241A961DE1B25C6362FDA3DABB3
86,1800,1800,NULL,ABT,ABBOTT LABS,ABBOTT LABORATORIES,NULL,1307602,1,NULL,NULL,2834,325412,4,12,35,136,2,3,17,4,1,14,86,1000,1,43653000000,1.92E+11,74438000000,00:00.0,1231,1,40:52.1,01:13.7,32D3312DF05402561FC6E5BF254635D1B334EAA79165FA8B5F82C8FE35AAF1D8
92,2178,2178,NULL,AE,ADAMS RES & ENERGY,ADAMS RESOURCES & ENERGY INC,NULL,67273649,1,NULL,NULL,5172,424720,2,26,44,154,2,9,47,6,1,NULL,NULL,NULL,NULL,3366917000,96305904,384159000,00:00.0,1231,1,19:49.5,01:24.0,8FE580AD6FD795FAEC43DEB6FE3E1225DEECC6B392B73BF92E2A1FDF90D31D9A
99,2098,2098,NULL,ACU,ACME UNITED,ACME UNITED CORP,NULL,1180207,1,NULL,NULL,3420,332212,1,4,50,104,1,16,8,34,1,NULL,NULL,NULL,NULL,193962000,76951048,164377000,00:00.0,1231,1,14:28.7,01:05.6,4558FAAD041953CDBCF70D6B378949BF7427E0A33B50CAEED1A8735439643C69
