AccountName,SubscriptionName,ResourceGroup,MeterCategory,Sum of Cost
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,default-storage-eastus,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,default-storage-eastus,Storage,$0.02
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,powerbicanada,Azure App Service,$2.44
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,realsuite,Azure App Service,$1.47
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,realsuite,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise,realsuite,Storage,$0.07
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,Default-RecoveryServices-ResourceGroup-eastus,Backup,$145.63
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,default-storage-eastus,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,default-storage-eastus,Storage,$897.02
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,idigazeley,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,idigazeley,Storage,$198.97
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,idigazeley,Virtual Machines,$801.11
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,idigazeley,Virtual Network,$2.90
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,Microsoft.Default,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,Microsoft Azure Enterprise - North America,Microsoft.Default,VPN Gateway,$29.16
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,"",Advanced Threat Protection,$220.04
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,"",Security Center,$304.41
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,"",Unassigned,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,"",Virtual Machines,$2036.13
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AD-ASSESSMENT,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AD-ASSESSMENT,Log Analytics,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AD-ASSESSMENT,Storage,$0.28
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AD-ASSESSMENT,Virtual Machines,$1.29
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,automation-stg-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,automation-stg-rg,Automation,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,automation-stg-rg,Storage,$0.38
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AZAUSPREPRODKEYVAULT-STG-RG,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,AZSEAPREPRODKEYVAULT-STG-RG,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtofb-rg,Advanced Threat Protection,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtofb-rg,Storage,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtpblu05d-rg,Advanced Threat Protection,$8.37
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtpblu05d-rg,Bandwidth,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtpblu05d-rg,Storage,$51.45
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtpblu05d-rg,Virtual Machines,$407.70
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtpblu05d-rg,Virtual Machines Licenses,$0.00
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtwebteamsited-stg-rg,Advanced Threat Protection,$0.01
svc_tsgazure_admin TSG Production and TSG Pre Production,TSG Pre Production,azuebtwebteamsited-stg-rg,Azure App Service,$222.60
